"english","ukrainian"
"Once daily","Раз на день"
"Twice daily","Два рази на день"
"Three times daily","Три рази на день"
"Four times daily","Чотири рази на день"
"Every six hours","Кожні 6 годин"
"Every eight hours","Кожні 8 годин"
"Immediately","Негайно"
"When required","За необхідністю"
"Morning","Зранку"
"Lunch","Вдень"
"Evening","Ввечері"
"Night","Вночі"
"One hour before food","За 1 годину перед прийомом їжі"
"With or immediately after food","З їжею або одразу після прийому їжі"
"2.5mls","2.5 млг"
"5mls","5 млг"
"10mls","10 млг"
"Half a tablet","Пів таблетки"
"One tablet / capsule","Одну таблетку/капсулу"
"Two tablets / capsules","Дві таблетки/капсули"
"Apply one patch (to the skin)","Прикладаю 1 пластир (до шкіри)"
"Use one puff (of inhaler)","Одна затяжка (з інгалятору)"
"Use two puffs","Дві затяжки"
"Use one spray (of nasal spray)","Одне вприскування спрею (носовий спрей)"
"Use two sprays","Два вприскування спрею"
"One vial/ampule (injections)","Один флакон/ампула (ін’єкції)"
"Apply a small amount of cream","Наношу невелику кількість крему"
"Use one drop (eyedrops)","Використовую одну краплю (очні краплі)"
"Use two drops","Використовувати дві краплі"
"Insert one into the vagina (pessary)","Ввожу одину у піхву (песарій)"
"Insert one into the anus (suppository)","Ввожу одину в задній прохід (супозиторій"
